sam.id,sam.proc.date,lab.proc.date,ufn,semsp.no,date,year,month,day,sample.int,location,region,site,species,species.no,stomtray,forklength,fishweight,dry.content.w,wet.content.w,corrected.ww,fullness.cat,fullness.mean,fullness.est,phylum,class,order,infraorder,family,genus,species,plot.taxon.g,plot.taxon.d,plot.taxon,labID,life.stage,sex,DI,count,size,length.min,length.max,length.avg,length.corr,group.weight,corrected.weight,comment,overnight (Y/N),"COMMENTS: PROCESSING (THAWED SAMPLE, ETC.) ",COMMENTS: SAMPLE (CONDITION OF FISH AND TISSUES)
113,3/20/2018,10/28/2015,U292,2015-05-16-D07-SO-22,2015-05-16,2015,05,16,1,DI,Central,D07,SO,22,15,128,22.50,NA,2.50,3.85,1-25,12.50,1,Arthropoda,Maxillopoda,NA,NA,NA,NA,NA,Barnacle  ,Barnacle,Barnacle,cyprid,NA,NA,1,2,<1,0.5,0.65,,,0.05,0.077,,N,,
113,3/20/2018,10/28/2015,U292,2015-05-16-D07-SO-22,2015-05-16,2015,05,16,1,DI,Central,D07,SO,22,15,128,22.50,NA,2.50,3.85,1-25,12.50,1,Arthropoda,Maxillopoda,NA,NA,NA,NA,NA,Barnacle  ,Barnacle,Barnacle,cyprid,NA,NA,2,2,<1,0.6,0.85,,,0.05,0.077,,N,,
113,3/20/2018,10/28/2015,U292,2015-05-16-D07-SO-22,2015-05-16,2015,05,16,1,DI,Central,D07,SO,22,15,128,22.50,NA,2.50,3.85,1-25,12.50,1,Arthropoda,Maxillopoda,NA,NA,NA,NA,NA,Barnacle  ,Barnacle,Barnacle,cyprid,NA,NA,4,1,<1,0.85,0.85,,,0.01,0.0154,,N,,
113,3/20/2018,10/28/2015,U292,2015-05-16-D07-SO-22,2015-05-16,2015,05,16,1,DI,Central,D07,SO,22,15,128,22.50,NA,2.50,3.85,1-25,12.50,1,Arthropoda,Maxillopoda,NA,NA,NA,NA,NA,Barnacle  ,Barnacle,Barnacle,Barnacle,nauplius,NA,2,2,<1,0.6,0.8,,,0.05,0.077,,N,,
113,3/20/2018,10/28/2015,U292,2015-05-16-D07-SO-22,2015-05-16,2015,05,16,1,DI,Central,D07,SO,22,15,128,22.50,NA,2.50,3.85,1-25,12.50,1,Arthropoda,Maxillopoda,Siphonostomatoida,NA,Caligidae,Caligus,NA,Other,Caligus,Caligus,Caligus,nauplius,NA,3,1,<1,0.6,0.6,,,0.01,0.0154,,N,,
113,3/20/2018,10/28/2015,U292,2015-05-16-D07-SO-22,2015-05-16,2015,05,16,1,DI,Central,D07,SO,22,15,128,22.50,NA,2.50,3.85,1-25,12.50,1,Arthropoda,Maxillopoda,Calanoida,NA,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominales,NA,M,2,1,1-2,1.6,1.6,,,0.05,0.077,,N,,
113,3/20/2018,10/28/2015,U292,2015-05-16-D07-SO-22,2015-05-16,2015,05,16,1,DI,Central,D07,SO,22,15,128,22.50,NA,2.50,3.85,1-25,12.50,1,Arthropoda,Maxillopoda,Calanoida,NA,Centropagidae,Centropages,abdominalis,Calanoid copepod,Centropages,Centropages,Centropages abdominales,NA,M,4,3,1-2,1.6,1.75,,,0.05,0.077,,N,,
113,3/20/2018,10/28/2015,U292,2015-05-16-D07-SO-22,2015-05-16,2015,05,16,1,DI,Central,D07,SO,22,15,128,22.50,NA,2.50,3.85,1-25,12.50,1,Arthropoda,Branchiopoda,Diplostraca,NA,Podonidae,Evadne,NA,Cladoceran,Evadne,Evadne,Evadne,NA,NA,1,8,<1,0.8,0.8,,,0.01,0.0154,,N,,
113,3/20/2018,10/28/2015,U292,2015-05-16-D07-SO-22,2015-05-16,2015,05,16,1,DI,Central,D07,SO,22,15,128,22.50,NA,2.50,3.85,1-25,12.50,1,Arthropoda,Branchiopoda,Diplostraca,NA,Podonidae,NA,NA,Cladoceran,Podonidae,Podonidae,Cladoceran,NA,NA,2,13,<1,0.7,0.8,,,0.8,1.232,,N,,
113,3/20/2018,10/28/2015,U292,2015-05-16-D07-SO-22,2015-05-16,2015,05,16,1,DI,Central,D07,SO,22,15,128,22.50,NA,2.50,3.85,1-25,12.50,1,Arthropoda,Branchiopoda,Diplostraca,NA,Podonidae,NA,NA,Cladoceran,Podonidae,Podonidae,Cladoceran,NA,NA,3,9,<1,0.8,1,,,0.7,1.078,,N,,
113,3/20/2018,10/28/2015,U292,2015-05-16-D07-SO-22,2015-05-16,2015,05,16,1,DI,Central,D07,SO,22,15,128,22.50,NA,2.50,3.85,1-25,12.50,1,Arthropoda,Branchiopoda,Diplostraca,NA,Podonidae,NA,NA,Cladoceran,Podonidae,Podonidae,Cladoceran,NA,NA,4,27,<1,0.8,1,,,0.4,0.616,,N,,
113,3/20/2018,10/28/2015,U292,2015-05-16-D07-SO-22,2015-05-16,2015,05,16,1,DI,Central,D07,SO,22,15,128,22.50,NA,2.50,3.85,1-25,12.50,1,Chordata,Appendicularia,Copelata,NA,Oikopleuridae,Oikopleura,NA,Larvacean,Oikopleura,Oikopleura,Oikopleura,NA,NA,1,1,2-5,1,1,1,4.285576459,0.05,0.077,,N,,
113,3/20/2018,10/28/2015,U292,2015-05-16-D07-SO-22,2015-05-16,2015,05,16,1,DI,Central,D07,SO,22,15,128,22.50,NA,2.50,3.85,1-25,12.50,1,NA,NA,NA,NA,NA,NA,NA,Digested,Digested,Digested,Digested,NA,NA,5,NA,NA,NA,NA,,,0.05,0.077,,N,,
114,3/20/2018,10/28/2015,U293,2015-05-16-D07-SO-26,2015-05-16,2015,05,16,1,DI,Central,D07,SO,26,15,95,10.80,NA,10.50,16.17,1-25,12.50,15,Arthropoda,Malacostraca,Amphipoda,Physocephelata,Hyperiidae,NA,NA,Amphipod ,Hyperiidae,Hyperiidae,Hyperiid amphipod,NA,NA,3,1,1-2,1.1,1.1,,,0.05,0.077,,N,,FORK LENGTH APPROXIMATE BECAUSE FISH WAS MISSINF BOTH CAUDAL LOBES
114,3/20/2018,10/28/2015,U293,2015-05-16-D07-SO-26,2015-05-16,2015,05,16,1,DI,Central,D07,SO,26,15,95,10.80,NA,10.50,16.17,1-25,12.50,15,Arthropoda,Malacostraca,Decapoda,NA,NA,NA,NA,Decapod,Digested decapod,Decapod,Decapod,zoea,NA,4,1,1-2,1.25,1.25,,,0.05,0.077,,N,,
114,3/20/2018,10/28/2015,U293,2015-05-16-D07-SO-26,2015-05-16,2015,05,16,1,DI,Central,D07,SO,26,15,95,10.80,NA,10.50,16.17,1-25,12.50,15,Arthropoda,Malacostraca,Euphausiacea,NA,Euphausiidae,Euphausia,NA,Euphausiid,Euphausia,Euphausiid,Euphausia,furcilia,NA,1,1,2-5,3,3,,,0.3,0.462,,N,,
114,3/20/2018,10/28/2015,U293,2015-05-16-D07-SO-26,2015-05-16,2015,05,16,1,DI,Central,D07,SO,26,15,95,10.80,NA,10.50,16.17,1-25,12.50,15,Arthropoda,Malacostraca,Euphausiacea,NA,Euphausiidae,Euphausia,NA,Euphausiid,Euphausia,Euphausiid,Euphausia,calytopsis,NA,1,2,2-5,2.5,2.75,,,0.1,0.154,,N,,
114,3/20/2018,10/28/2015,U293,2015-05-16-D07-SO-26,2015-05-16,2015,05,16,1,DI,Central,D07,SO,26,15,95,10.80,NA,10.50,16.17,1-25,12.50,15,Arthropoda,Malacostraca,Euphausiacea,NA,Euphausiidae,Euphausia,NA,Euphausiid,Euphausia,Euphausiid,Euphausia,calytopsis,NA,3,1,1-2,1.9,1.9,,,0.05,0.077,,N,,
114,3/20/2018,10/28/2015,U293,2015-05-16-D07-SO-26,2015-05-16,2015,05,16,1,DI,Central,D07,SO,26,15,95,10.80,NA,10.50,16.17,1-25,12.50,15,Arthropoda,Malacostraca,Euphausiacea,NA,Euphausiidae,NA,NA,Euphausiid,Euphausia,Euphausiid,Euphausiid,nauplius,NA,2,1,1-2,1.75,1.75,,,0.05,0.077,,N,,
114,3/20/2018,10/28/2015,U293,2015-05-16-D07-SO-26,2015-05-16,2015,05,16,1,DI,Central,D07,SO,26,15,95,10.80,NA,10.50,16.17,1-25,12.50,15,Arthropoda,Maxillopoda,Cyclopoida,NA,Corycaeidae,Corycaeus,NA,Other,Corycaeus,Corycaeus,Corycaeus,NA,NA,2,1,<1,0.9,0.9,,,0.01,0.0154,,N,,
114,3/20/2018,10/28/2015,U293,2015-05-16-D07-SO-26,2015-05-16,2015,05,16,1,DI,Central,D07,SO,26,15,95,10.80,NA,10.50,16.17,1-25,12.50,15,Arthropoda,Maxillopoda,Cyclopoida,NA,Corycaeidae,Corycaeus,NA,Other,Corycaeus,Corycaeus,Corycaeus,NA,NA,4,1,<1,NA,NA,,,0.01,0.0154,,N,,
114,3/20/2018,10/28/2015,U293,2015-05-16-D07-SO-26,2015-05-16,2015,05,16,1,DI,Central,D07,SO,26,15,95,10.80,NA,10.50,16.17,1-25,12.50,15,Arthropoda,Maxillopoda,Calanoida,NA,Tortanidae,Tortanus,discaudatus,Calanoid copepod,Tortanus,Tortanus,Tortanus discaudatus,NA,NA,2,1,1-2,1.6,1.6,,,0.05,0.077,,N,,
114,3/20/2018,10/28/2015,U293,2015-05-16-D07-SO-26,2015-05-16,2015,05,16,1,DI,Central,D07,SO,26,15,95,10.80,NA,10.50,16.17,1-25,12.50,15,Arthropoda,Maxillopoda,Calanoida,NA,Tortanidae,Tortanus,discaudatus,Calanoid copepod,Tortanus,Tortanus,Tortanus discaudatus,NA,F,3,1,1-2,1.6,1.6,,,0.05,0.077,,N,,
114,3/20/2018,10/28/2015,U293,2015-05-16-D07-SO-26,2015-05-16,2015,05,16,1,DI,Central,D07,SO,26,15,95,10.80,NA,10.50,16.17,1-25,12.50,15,Arthropoda,Maxillopoda,Calanoida,NA,Pontellidae,Epilabidocera,longipedata,Calanoid copepod,Epilabidocera,Epilabidocera,Epilabidocera longipedata,<CV,NA,4,1,1-2,NA,NA,,,0.05,0.077,,N,,
114,3/20/2018,10/28/2015,U293,2015-05-16-D07-SO-26,2015-05-16,2015,05,16,1,DI,Central,D07,SO,26,15,95,10.80,NA,10.50,16.17,1-25,12.50,15,Arthropoda,Maxillopoda,NA,NA,NA,NA,NA,Barnacle  ,Barnacle,Barnacle,Cyprid,NA,NA,2,6,<1,0.55,0.8,,,0.1,0.154,,N,,
114,3/20/2018,10/28/2015,U293,2015-05-16-D07-SO-26,2015-05-16,2015,05,16,1,DI,Central,D07,SO,26,15,95,10.80,NA,10.50,16.17,1-25,12.50,15,Arthropoda,Maxillopoda,NA,NA,NA,NA,NA,Barnacle  ,Barnacle,Barnacle,Cyprid,NA,NA,4,2,<1,0.8,0.8,,,0.01,0.0154,,N,,
